,Column,Missing,Missing_p,Count,Type,Distinct,Most Popular,Mean,Std,Min,Max,Feat_type,T-stat,P-value,significance,Chi-square,D.Freedom,stage,class,In use
197,"industry_enrichment_Energy (including Oil and Gas, Renewable Energy)",0,0,57237,float64,2,0,0.000227126,0.015069114,0,1,numerical,-2.38192586,0.017225612,No,,,1,contact,TRUE
198,industry_enrichment_Entertainment and Media,0,0,57237,float64,2,0,0.004717228,0.068520494,0,1,numerical,0.401562716,0.688007373,Yes,,,1,contact,TRUE
199,industry_enrichment_Environmental Services,0,0,57237,float64,2,0,0.001030802,0.03208983,0,1,numerical,-0.711716676,0.47664314,Yes,,,1,contact,TRUE
200,industry_enrichment_Event Management,0,0,57237,float64,2,0,6.99E-05,0.008359498,0,1,numerical,0.375516132,0.707278043,Yes,,,1,contact,TRUE
201,industry_enrichment_Exhibition and Event Services,0,0,57237,float64,2,0,1.75E-05,0.004179858,0,1,numerical,0.187752972,0.851070969,Yes,,,1,contact,TRUE
202,industry_enrichment_Fashion and Apparel,0,0,57237,float64,2,0,0.002742981,0.052302053,0,1,numerical,1.91516041,0.055477028,Yes,,,1,contact,TRUE
203,industry_enrichment_Food and Beverage,0,0,57237,float64,2,0,0.00186942,0.043196736,0,1,numerical,-1.790858145,0.073321344,Yes,,,1,contact,TRUE
204,industry_enrichment_Furniture Manufacturing,0,0,57237,float64,2,0,1.75E-05,0.004179858,0,1,numerical,0.187752972,0.851070969,Yes,,,1,contact,TRUE
205,industry_enrichment_Gambling and Betting Activities,0,0,57237,float64,2,0,1.75E-05,0.004179858,0,1,numerical,0.187752972,0.851070969,Yes,,,1,contact,TRUE
206,industry_enrichment_Gaming,0,0,57237,float64,2,0,0.000524136,0.022888227,0,1,numerical,0.021691388,0.982694209,Yes,,,1,contact,TRUE
207,industry_enrichment_Government and Public Administration,0,0,57237,float64,2,0,0.001222985,0.034950118,0,1,numerical,0.252953812,0.800304814,Yes,,,1,contact,TRUE
